,Name,Price,Product Detail Link,product_id,Product Detail Link Clean,Description,Product Vars
24,PERSPECTIVE JEAN SKIRT,128.00,https://www.aritzia.com/us/en/product/perspective-jean-skirt/114313.html?dwvar_114313_color=31861,25,https://www.aritzia.com/us/en/product/perspective-jean-skirt/114313.html?dwvar_114313_color=31861,Pleated denim mini skirt,"['31861', '31861']"
25,INSTEAD CARDIGAN,198.00,https://www.aritzia.com/us/en/product/instead-cardigan/113491.html?dwvar_113491_color=11420,26,https://www.aritzia.com/us/en/product/instead-cardigan/113491.html?dwvar_113491_color=11420,Relaxed merino wool cardigan,"['11420', '1274', '11420']"
26,ONBOARD BLAZER,348.00,https://www.aritzia.com/us/en/product/onboard-blazer/111458.html?dwvar_111458_color=31551,27,https://www.aritzia.com/us/en/product/onboard-blazer/111458.html?dwvar_111458_color=31551,Slim-fit wool twill hourglass blazer,"['31551', '31551']"
27,ONBOARD BLAZER,348.00,https://www.aritzia.com/us/en/product/onboard-blazer/111458.html?dwvar_111458_color=31551,28,https://www.aritzia.com/us/en/product/onboard-blazer/111458.html?dwvar_111458_color=31551,Slim-fit wool twill hourglass blazer,"['31551', '31551']"
28,STATUS JEAN SKIRT,148.00,https://www.aritzia.com/us/en/product/status-jean-skirt/114314.html?dwvar_114314_color=31861,29,https://www.aritzia.com/us/en/product/status-jean-skirt/114314.html?dwvar_114314_color=31861,Pleated denim midi skirt,"['31861', '31861']"
29,GEMINI DRESS,88.00,https://www.aritzia.com/us/en/product/gemini-dress/112296.html?dwvar_112296_color=1274,30,https://www.aritzia.com/us/en/product/gemini-dress/112296.html?dwvar_112296_color=1274,Longsleeve turtleneck jersey maxi dress,"['1274', '1274', '30966']"
30,GLORY SWEATER,138.00,https://www.aritzia.com/us/en/product/glory-sweater/111233.html?dwvar_111233_color=7325,31,https://www.aritzia.com/us/en/product/glory-sweater/111233.html?dwvar_111233_color=7325,Oversized merino wool crewneck sweater,"['7325', '7325', '4425', '4322']"
31,CRESSIDA PANT,148.00,https://www.aritzia.com/us/en/product/cressida-pant/111201.html?dwvar_111201_color=29563,32,https://www.aritzia.com/us/en/product/cressida-pant/111201.html?dwvar_111201_color=29563,High-waisted textured twill pants,"['29563', '29563', '1274']"
32,STRATEGY BLAZER,248.00,https://www.aritzia.com/us/en/product/strategy-blazer/113321.html?dwvar_113321_color=1274,33,https://www.aritzia.com/us/en/product/strategy-blazer/113321.html?dwvar_113321_color=1274,Relaxed single-breasted suiting blazer,"['1274', '1274', '6448', '15104']"
33,HOLD-IT™ PLAYLIST ZIP-UP,68.00,https://www.aritzia.com/us/en/product/hold-it%E2%84%A2-playlist-zip-up/110891.html?dwvar_110891_color=13137,34,https://www.aritzia.com/us/en/product/hold-it%E2%84%A2-playlist-zip-up/110891.html?dwvar_110891_color=13137,Zip-up sports jacket,"['13137', '13137', '31635']"
